term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Share of GBARD in total general government expenditure,share of gbard in total general government expenditure,Government and public finance,0.530084,Economy and national accounts,0.103056,0.427028,high,rule_override_and_tfidf,government|government expenditure,government expenditure,"Best profile: Government and public finance; score=0.5301; margin=0.4270; override_rules=government; keywords=government, government expenditure; strong_keywords=government expenditure",1,1,government
General government deficit - and surplus + - annual data,general government deficit - and surplus + - annual data,Government and public finance,0.530017,Housing and construction,0.0,0.530017,high,rule_override_and_tfidf,government|deficit,government deficit,"Best profile: Government and public finance; score=0.5300; margin=0.5300; override_rules=government, deficit, surplus; keywords=government, deficit; strong_keywords=government deficit",1,1,government|deficit|surplus
General government deficit - and surplus + - quarterly data,general government deficit - and surplus + - quarterly data,Government and public finance,0.525045,Housing and construction,0.0,0.525045,high,rule_override_and_tfidf,government|deficit,government deficit,"Best profile: Government and public finance; score=0.5250; margin=0.5250; override_rules=government, deficit, surplus; keywords=government, deficit; strong_keywords=government deficit",1,1,government|deficit|surplus
"Gross public debt, as a share of GDP (%)","gross public debt, as a share of gdp (%)",Government and public finance,0.515784,Economy and national accounts,0.351858,0.163926,high,rule_override_and_tfidf,public debt,public debt,Best profile: Government and public finance; score=0.5158; margin=0.1639; override_rules=public debt; keywords=public debt; strong_keywords=public debt,1,4,public debt
Total general government revenue,total general government revenue,Government and public finance,0.387841,Housing and construction,0.0,0.387841,high,rule_override_and_tfidf,government|government revenue,,"Best profile: Government and public finance; score=0.3878; margin=0.3878; override_rules=government; keywords=government, government revenue",3,36,government
Hospital beds,hospital beds,Health,0.527628,Housing and construction,0.0,0.527628,high,rule_override_and_tfidf,hospital,hospital beds,Best profile: Health; score=0.5276; margin=0.5276; override_rules=hospital; keywords=hospital; strong_keywords=hospital beds,1,1,hospital
Out-of-pocket expenditure on healthcare,out-of-pocket expenditure on healthcare,Health,0.440965,Economy and national accounts,0.109191,0.331774,high,rule_override_and_tfidf,healthcare,healthcare,Best profile: Health; score=0.4410; margin=0.3318; override_rules=healthcare; keywords=healthcare; strong_keywords=healthcare,1,1,healthcare
Social protection expenditure excluding administrative costs including health expenditure as a share of GDP,social protection expenditure excluding administrative costs including health expenditure as a share of gdp,Health,0.401921,Economy and national accounts,0.422466,-0.020545,high,rule_override_and_tfidf,health,health expenditure,Best profile: Health; score=0.4019; margin=-0.0205; override_rules=health; keywords=health; strong_keywords=health expenditure,1,1,health
Health care expenditure by function,health care expenditure by function,Health,0.340517,Economy and national accounts,0.107609,0.232907,high,rule_override_and_tfidf,health|health care,,"Best profile: Health; score=0.3405; margin=0.2329; override_rules=health, health care; keywords=health, health care",1,1,health|health care
Health care expenditure as a share of GDP,health care expenditure as a share of gdp,Health,0.336424,Economy and national accounts,0.434156,-0.097732,high,rule_override_and_tfidf,health|health care,,"Best profile: Health; score=0.3364; margin=-0.0977; override_rules=health, health care; keywords=health, health care",1,1,health|health care
Health care expenditure by financing scheme,health care expenditure by financing scheme,Health,0.309481,Economy and national accounts,0.102863,0.206618,high,rule_override_and_tfidf,health|health care,,"Best profile: Health; score=0.3095; margin=0.2066; override_rules=health, health care; keywords=health, health care",2,2,health|health care
Consultation of a medical doctor per inhabitant,consultation of a medical doctor per inhabitant,Health,0.268686,Housing and construction,0.0,0.268686,high,rule_override_and_tfidf,doctor|medical,,"Best profile: Health; score=0.2687; margin=0.2687; override_rules=medical doctor; keywords=doctor, medical",1,1,medical doctor
Consultation of a medical doctor in private practice or as outpatient per inhabitant – historical data,consultation of a medical doctor in private practice or as outpatient per inhabitant – historical data,Health,0.230559,Housing and construction,0.0,0.230559,high,rule_override_and_tfidf,doctor|medical,,"Best profile: Health; score=0.2306; margin=0.2306; override_rules=medical doctor; keywords=doctor, medical",1,1,medical doctor
HICP - health,hicp - health,Health,0.201832,Housing and construction,0.0,0.201832,high,rule_override_and_tfidf,health,,Best profile: Health; score=0.2018; margin=0.2018; override_rules=health; keywords=health,1,1,health
Health graduates,health graduates,Health,0.198924,Education and training,0.048523,0.150401,high,rule_override_and_tfidf,health,,Best profile: Health; score=0.1989; margin=0.1504; override_rules=health; keywords=health,1,1,health
Building permits - annual data,building permits - annual data,Housing and construction,0.486646,Tourism,0.0,0.486646,high,rule_override_and_tfidf,building,building permits,Best profile: Housing and construction; score=0.4866; margin=0.4866; override_rules=building permit; keywords=building; strong_keywords=building permits,1,1,building permit
Building permits - monthly data,building permits - monthly data,Housing and construction,0.479168,Labour market,0.026067,0.453101,high,rule_override_and_tfidf,building,building permits,Best profile: Housing and construction; score=0.4792; margin=0.4531; override_rules=building permit; keywords=building; strong_keywords=building permits,1,1,building permit
Residential construction - annual data % of GDP,residential construction - annual data % of gdp,Housing and construction,0.327222,Economy and national accounts,0.326314,0.000908,high,rule_override_and_tfidf,construction|residential,,"Best profile: Housing and construction; score=0.3272; margin=0.0009; override_rules=construction; keywords=construction, residential",1,1,construction
Housing units by type of building,housing units by type of building,Housing and construction,0.311204,Tourism,0.0,0.311204,high,rule_override_and_tfidf,housing|building,,"Best profile: Housing and construction; score=0.3112; margin=0.3112; override_rules=housing; keywords=housing, building",1,1,housing
Housing cost overburden rate,housing cost overburden rate,Housing and construction,0.297629,Labour market,0.069143,0.228486,high,rule_override_and_tfidf,housing|housing cost,,"Best profile: Housing and construction; score=0.2976; margin=0.2285; override_rules=housing; keywords=housing, housing cost",1,1,housing
Housing cost overburden rate by NUTS regions,housing cost overburden rate by nuts regions,Housing and construction,0.270158,Labour market,0.055342,0.214816,high,rule_override_and_tfidf,housing|housing cost,,"Best profile: Housing and construction; score=0.2702; margin=0.2148; override_rules=housing; keywords=housing, housing cost",1,1,housing
Housing cost overburden rate by sex - EU-SILC survey,housing cost overburden rate by sex - eu-silc survey,Housing and construction,0.263899,Labour market,0.052197,0.211701,high,rule_override_and_tfidf,housing|housing cost,,"Best profile: Housing and construction; score=0.2639; margin=0.2117; override_rules=housing; keywords=housing, housing cost",1,1,housing
Housing cost overburden rate by age group - EU-SILC survey,housing cost overburden rate by age group - eu-silc survey,Housing and construction,0.257802,Labour market,0.049134,0.208667,high,rule_override_and_tfidf,housing|housing cost,,"Best profile: Housing and construction; score=0.2578; margin=0.2087; override_rules=housing; keywords=housing, housing cost",1,1,housing
Housing cost overburden rate by tenure status - EU-SILC survey,housing cost overburden rate by tenure status - eu-silc survey,Housing and construction,0.253278,Labour market,0.046862,0.206416,high,rule_override_and_tfidf,housing|housing cost,,"Best profile: Housing and construction; score=0.2533; margin=0.2064; override_rules=housing; keywords=housing, housing cost",2,2,housing
Housing cost overburden rate by household type - EU-SILC survey,housing cost overburden rate by household type - eu-silc survey,Housing and construction,0.252806,Labour market,0.046625,0.206182,high,rule_override_and_tfidf,housing|housing cost,,"Best profile: Housing and construction; score=0.2528; margin=0.2062; override_rules=housing; keywords=housing, housing cost",1,1,housing
Persons at risk of poverty or social exclusion,persons at risk of poverty or social exclusion,"Income, poverty and living conditions",1.018683,Housing and construction,0.0,1.018683,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=1.0187; margin=1.0187; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
People at risk of poverty or social exclusion,people at risk of poverty or social exclusion,"Income, poverty and living conditions",1.004269,Housing and construction,0.0,1.004269,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=1.0043; margin=1.0043; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
Children at risk of poverty or social exclusion,children at risk of poverty or social exclusion,"Income, poverty and living conditions",0.991934,Housing and construction,0.0,0.991934,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9919; margin=0.9919; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
People at risk of poverty or social exclusion by age,people at risk of poverty or social exclusion by age,"Income, poverty and living conditions",0.965297,Housing and construction,0.0,0.965297,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9653; margin=0.9653; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
People at risk of poverty or social exclusion by sex,people at risk of poverty or social exclusion by sex,"Income, poverty and living conditions",0.962732,Housing and construction,0.0,0.962732,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9627; margin=0.9627; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
Persons at risk of poverty or social exclusion by age and sex,persons at risk of poverty or social exclusion by age and sex,"Income, poverty and living conditions",0.956796,Housing and construction,0.0,0.956796,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9568; margin=0.9568; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
Persons at risk of poverty or social exclusion by NUTS regions,persons at risk of poverty or social exclusion by nuts regions,"Income, poverty and living conditions",0.947333,Housing and construction,0.0,0.947333,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9473; margin=0.9473; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
Persons at risk of poverty or social exclusion by tenure status,persons at risk of poverty or social exclusion by tenure status,"Income, poverty and living conditions",0.941672,Health,0.015598,0.926074,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9417; margin=0.9261; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
Persons at risk of poverty or social exclusion by degree of urbanisation,persons at risk of poverty or social exclusion by degree of urbanisation,"Income, poverty and living conditions",0.940932,Housing and construction,0.0,0.940932,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9409; margin=0.9409; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",2,2,poverty|social exclusion
People at risk of poverty or social exclusion by NUTS 2 regions,people at risk of poverty or social exclusion by nuts 2 regions,"Income, poverty and living conditions",0.940072,Housing and construction,0.0,0.940072,high,rule_override_and_tfidf,poverty|at risk of poverty|social exclusion,at risk of poverty|social exclusion,"Best profile: Income, poverty and living conditions; score=0.9401; margin=0.9401; override_rules=poverty, social exclusion; keywords=poverty, at risk of poverty, social exclusion; strong_keywords=at risk of poverty, social exclusion",1,1,poverty|social exclusion
Monthly earnings by quantiles and contractual working time enterprises with 10 employed persons or more - NACE Rev. 2 B-S excluding O,monthly earnings by quantiles and contractual working time enterprises with 10 employed persons or more - nace rev. 2 b-s excluding o,Labour market,0.624973,"Business, industry and trade",0.009752,0.615221,high,rule_override_and_tfidf,employed|earnings|working time,monthly earnings,"Best profile: Labour market; score=0.6250; margin=0.6152; override_rules=employed, earnings, working time; keywords=employed, earnings, working time; strong_keywords=monthly earnings",2,2,employed|earnings|working time
Monthly earnings by quantiles and contractual working time enterprises with 10 employed persons or more - NACE Rev. 1.1 C-O excluding L,monthly earnings by quantiles and contractual working time enterprises with 10 employed persons or more - nace rev. 1.1 c-o excluding l,Labour market,0.624973,"Business, industry and trade",0.009752,0.615221,high,rule_override_and_tfidf,employed|earnings|working time,monthly earnings,"Best profile: Labour market; score=0.6250; margin=0.6152; override_rules=employed, earnings, working time; keywords=employed, earnings, working time; strong_keywords=monthly earnings",1,1,employed|earnings|working time
Labour cost index by NACE Rev. 2,labour cost index by nace rev. 2,Labour market,0.569325,Economy and national accounts,0.032081,0.537244,high,rule_override_and_tfidf,labour|labour cost,labour cost,"Best profile: Labour market; score=0.5693; margin=0.5372; override_rules=labour; keywords=labour, labour cost; strong_keywords=labour cost",1,1,labour
Nominal unit labour cost growth,nominal unit labour cost growth,Labour market,0.541039,Demography and population,0.057077,0.483962,high,rule_override_and_tfidf,labour|labour cost,labour cost,"Best profile: Labour market; score=0.5410; margin=0.4840; override_rules=labour; keywords=labour, labour cost; strong_keywords=labour cost",2,2,labour
Labour cost index by NACE Rev. 1.1 activity - country weights,labour cost index by nace rev. 1.1 activity - country weights,Labour market,0.524038,Housing and construction,0.041541,0.482496,high,rule_override_and_tfidf,labour|labour cost,labour cost,"Best profile: Labour market; score=0.5240; margin=0.4825; override_rules=labour; keywords=labour, labour cost; strong_keywords=labour cost",1,1,labour
Labour cost index by NACE Rev. 2 activity - country weights,labour cost index by nace rev. 2 activity - country weights,Labour market,0.524038,Housing and construction,0.041541,0.482496,high,rule_override_and_tfidf,labour|labour cost,labour cost,"Best profile: Labour market; score=0.5240; margin=0.4825; override_rules=labour; keywords=labour, labour cost; strong_keywords=labour cost",1,1,labour
Nominal unit labour cost per hour worked - 3 years % change,nominal unit labour cost per hour worked - 3 years % change,Labour market,0.506365,Environment and climate,0.032274,0.474091,high,rule_override_and_tfidf,labour|labour cost,labour cost,"Best profile: Labour market; score=0.5064; margin=0.4741; override_rules=labour; keywords=labour, labour cost; strong_keywords=labour cost",1,1,labour
Unit labour cost performance related to the euro area - annual data,unit labour cost performance related to the euro area - annual data,Labour market,0.503412,Housing and construction,0.01737,0.486042,high,rule_override_and_tfidf,labour|labour cost,labour cost,"Best profile: Labour market; score=0.5034; margin=0.4860; override_rules=labour; keywords=labour, labour cost; strong_keywords=labour cost",1,1,labour
Monthly minimum wage as a proportion of the median gross monthly earnings,monthly minimum wage as a proportion of the median gross monthly earnings,Labour market,0.49507,Economy and national accounts,0.017959,0.477111,high,rule_override_and_tfidf,earnings|wage,monthly earnings,"Best profile: Labour market; score=0.4951; margin=0.4771; override_rules=earnings, wage; keywords=earnings, wage; strong_keywords=monthly earnings",2,57,earnings|wage
Monthly minimum wage as a proportion of the mean gross monthly earnings,monthly minimum wage as a proportion of the mean gross monthly earnings,Labour market,0.49476,Economy and national accounts,0.017911,0.476849,high,rule_override_and_tfidf,earnings|wage,monthly earnings,"Best profile: Labour market; score=0.4948; margin=0.4768; override_rules=earnings, wage; keywords=earnings, wage; strong_keywords=monthly earnings",2,86,earnings|wage
Air pollutants,air pollutants,Other or multidisciplinary,0.078665,Environment and climate,0.056797,0.021868,low,low_similarity_fallback,,,Best profile: Transport and mobility; score=0.0787; margin=0.0219,1,1,
Non-financial accounts for EU institutions,non-financial accounts for eu institutions,Other or multidisciplinary,0.077285,Government and public finance,0.032335,0.04495,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0773; margin=0.0449,1,1,
Arrivals of non-residents,arrivals of non-residents,Other or multidisciplinary,0.074126,Housing and construction,0.0,0.074126,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0741; margin=0.0741,1,9,
Material footprint,material footprint,Other or multidisciplinary,0.072117,Housing and construction,0.0,0.072117,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0721; margin=0.0721",1,1,
Applicants having benefited from material reception conditions at the end of the reference year - annual data,applicants having benefited from material reception conditions at the end of the reference year - annual data,Other or multidisciplinary,0.069088,Housing and construction,0.025969,0.043119,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0691; margin=0.0431",1,1,
Number of accounts linked to CPA categories,number of accounts linked to cpa categories,Other or multidisciplinary,0.068587,Government and public finance,0.028696,0.039891,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0686; margin=0.0399,1,1,
Household saving rate,household saving rate,Other or multidisciplinary,0.06772,Demography and population,0.022094,0.045626,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0677; margin=0.0456",2,2,
Healthy life years,healthy life years,Other or multidisciplinary,0.067381,"Income, poverty and living conditions",0.053367,0.014014,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0674; margin=0.0140,1,1,
Consumption of chemicals,consumption of chemicals,Other or multidisciplinary,0.066405,Housing and construction,0.0,0.066405,low,low_similarity_fallback,,,Best profile: Energy; score=0.0664; margin=0.0664,2,18,
House sales - number and index annual data,house sales - number and index annual data,Other or multidisciplinary,0.065794,Economy and national accounts,0.026593,0.039201,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0658; margin=0.0392,1,1,
Gross domestic expenditure on research and development R&D,gross domestic expenditure on research and development r&d,"Science, technology and digital society",0.652734,Economy and national accounts,0.228465,0.424269,high,rule_override_and_tfidf,research|research and development,research and development,"Best profile: Science, technology and digital society; score=0.6527; margin=0.4243; override_rules=research; keywords=research, research and development; strong_keywords=research and development",1,1,research
Research and development expenditure by sectors of performance,research and development expenditure by sectors of performance,"Science, technology and digital society",0.59636,Economy and national accounts,0.103675,0.492686,high,rule_override_and_tfidf,research|research and development,research and development,"Best profile: Science, technology and digital society; score=0.5964; margin=0.4927; override_rules=research; keywords=research, research and development; strong_keywords=research and development",1,1,research
Internet use: never,internet use: never,"Science, technology and digital society",0.529931,"Agriculture, forestry and fisheries",0.043184,0.486747,high,rule_override_and_tfidf,internet,internet use,"Best profile: Science, technology and digital society; score=0.5299; margin=0.4867; override_rules=internet; keywords=internet; strong_keywords=internet use",2,78,internet
Internet use: doing an online course (of any subject),internet use: doing an online course (of any subject),"Science, technology and digital society",0.50042,"Agriculture, forestry and fisheries",0.01764,0.48278,high,rule_override_and_tfidf,internet|online,internet use,"Best profile: Science, technology and digital society; score=0.5004; margin=0.4828; override_rules=internet; keywords=internet, online; strong_keywords=internet use",3,117,internet
Individuals' level of digital skills until,individuals' level of digital skills until,"Science, technology and digital society",0.494038,Housing and construction,0.0,0.494038,high,rule_override_and_tfidf,digital,digital skills,"Best profile: Science, technology and digital society; score=0.4940; margin=0.4940; override_rules=digital; keywords=digital; strong_keywords=digital skills",1,1,digital
Internet use by individuals,internet use by individuals,"Science, technology and digital society",0.462669,"Agriculture, forestry and fisheries",0.030551,0.432118,high,rule_override_and_tfidf,internet,internet use,"Best profile: Science, technology and digital society; score=0.4627; margin=0.4321; override_rules=internet; keywords=internet; strong_keywords=internet use",1,1,internet
Last internet use: in last 3 months,last internet use: in last 3 months,"Science, technology and digital society",0.461023,"Agriculture, forestry and fisheries",0.030242,0.43078,high,rule_override_and_tfidf,internet,internet use,"Best profile: Science, technology and digital society; score=0.4610; margin=0.4308; override_rules=internet; keywords=internet; strong_keywords=internet use",1,39,internet
Internet use: finding information about goods and services,internet use: finding information about goods and services,"Science, technology and digital society",0.458159,"Agriculture, forestry and fisheries",0.019399,0.438761,high,rule_override_and_tfidf,internet,internet use,"Best profile: Science, technology and digital society; score=0.4582; margin=0.4388; override_rules=internet; keywords=internet; strong_keywords=internet use",1,39,internet
Internet use: Internet banking,internet use: internet banking,"Science, technology and digital society",0.45197,"Agriculture, forestry and fisheries",0.023234,0.428736,high,rule_override_and_tfidf,internet,internet use,"Best profile: Science, technology and digital society; score=0.4520; margin=0.4287; override_rules=internet; keywords=internet; strong_keywords=internet use",1,39,internet
Last internet use: in the last 12 months,last internet use: in the last 12 months,"Science, technology and digital society",0.438221,"Agriculture, forestry and fisheries",0.02596,0.412261,high,rule_override_and_tfidf,internet,internet use,"Best profile: Science, technology and digital society; score=0.4382; margin=0.4123; override_rules=internet; keywords=internet; strong_keywords=internet use",1,39,internet
Nights spent at tourism accommodation establishments,nights spent at tourism accommodation establishments,Tourism,1.098228,Housing and construction,0.0,1.098228,high,rule_override_and_tfidf,tourism|accommodation|nights spent,tourism accommodation|nights spent,"Best profile: Tourism; score=1.0982; margin=1.0982; override_rules=tourism, nights spent, accommodation; keywords=tourism, accommodation, nights spent; strong_keywords=tourism accommodation, nights spent",1,1,tourism|nights spent|accommodation
Nights spent at tourist accommodation establishments by residents/non-residents,nights spent at tourist accommodation establishments by residents/non-residents,Tourism,0.727947,Housing and construction,0.0,0.727947,high,rule_override_and_tfidf,tourist|accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.7279; margin=0.7279; override_rules=tourism, tourist, nights spent, accommodation; keywords=tourist, accommodation, nights spent; strong_keywords=nights spent",1,1,tourism|tourist|nights spent|accommodation
Nights spent at tourist accommodation establishments by country/world region of residence of the tourist,nights spent at tourist accommodation establishments by country/world region of residence of the tourist,Tourism,0.718359,Housing and construction,0.0,0.718359,high,rule_override_and_tfidf,tourist|accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.7184; margin=0.7184; override_rules=tourism, tourist, nights spent, accommodation; keywords=tourist, accommodation, nights spent; strong_keywords=nights spent",1,1,tourism|tourist|nights spent|accommodation
Arrivals at tourism accommodation establishments by type of accommodation,arrivals at tourism accommodation establishments by type of accommodation,Tourism,0.717673,Housing and construction,0.0,0.717673,high,rule_override_and_tfidf,tourism|accommodation,tourism accommodation,"Best profile: Tourism; score=0.7177; margin=0.7177; override_rules=tourism, accommodation; keywords=tourism, accommodation; strong_keywords=tourism accommodation",1,1,tourism|accommodation
Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,nights spent at tourist accommodation establishments by residents/non-residents - monthly data,Tourism,0.703555,Labour market,0.015754,0.6878,high,rule_override_and_tfidf,tourist|accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.7036; margin=0.6878; override_rules=tourism, tourist, nights spent, accommodation; keywords=tourist, accommodation, nights spent; strong_keywords=nights spent",1,1,tourism|tourist|nights spent|accommodation
Nights spent by type of accommodation,nights spent by type of accommodation,Tourism,0.664081,Housing and construction,0.0,0.664081,high,rule_override_and_tfidf,accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.6641; margin=0.6641; override_rules=nights spent, accommodation; keywords=accommodation, nights spent; strong_keywords=nights spent",1,1,nights spent|accommodation
Percentage change compared to corresponding period of the previous year in nights spent at tourist accommodation establishments by residents/non-residents - monthly data,percentage change compared to corresponding period of the previous year in nights spent at tourist accommodation establishments by residents/non-residents - monthly data,Tourism,0.634465,Environment and climate,0.020996,0.613469,high,rule_override_and_tfidf,tourist|accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.6345; margin=0.6135; override_rules=tourism, tourist, nights spent, accommodation; keywords=tourist, accommodation, nights spent; strong_keywords=nights spent",1,1,tourism|tourist|nights spent|accommodation
"Nights spent, total","nights spent, total",Tourism,0.556898,Housing and construction,0.0,0.556898,high,rule_override_and_tfidf,nights spent,nights spent,Best profile: Tourism; score=0.5569; margin=0.5569; override_rules=nights spent; keywords=nights spent; strong_keywords=nights spent,1,10,nights spent
Guest nights spent at short-stay accommodation offered via collaborative economy platforms by mode of accommodation - experimental statistics,guest nights spent at short-stay accommodation offered via collaborative economy platforms by mode of accommodation - experimental statistics,Tourism,0.532642,Economy and national accounts,0.014799,0.517843,high,rule_override_and_tfidf,accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.5326; margin=0.5178; override_rules=nights spent, accommodation; keywords=accommodation, nights spent; strong_keywords=nights spent",1,1,nights spent|accommodation
Guest nights spent at short-stay accommodation offered via collaborative economy platforms by size class of accommodation - experimental statistics,guest nights spent at short-stay accommodation offered via collaborative economy platforms by size class of accommodation - experimental statistics,Tourism,0.531016,Economy and national accounts,0.014641,0.516375,high,rule_override_and_tfidf,accommodation|nights spent,nights spent,"Best profile: Tourism; score=0.5310; margin=0.5164; override_rules=nights spent, accommodation; keywords=accommodation, nights spent; strong_keywords=nights spent",1,1,nights spent|accommodation
Air transport traffic freight and passengers,air transport traffic freight and passengers,Transport and mobility,0.772981,Environment and climate,0.037363,0.735618,high,rule_override_and_tfidf,transport|freight|air transport|traffic,air transport,"Best profile: Transport and mobility; score=0.7730; margin=0.7356; override_rules=air transport; keywords=transport, freight, air transport, traffic; strong_keywords=air transport",1,1,air transport
Road freight transport,road freight transport,Transport and mobility,0.727914,"Crime, justice and safety",0.031423,0.696491,high,tfidf_and_strong_keywords,transport|freight|road,freight transport,"Best profile: Transport and mobility; score=0.7279; margin=0.6965; keywords=transport, freight, road; strong_keywords=freight transport",2,2,
Air transport of freight by NUTS 2 regions,air transport of freight by nuts 2 regions,Transport and mobility,0.727347,Environment and climate,0.041093,0.686254,high,rule_override_and_tfidf,transport|freight|air transport,air transport,"Best profile: Transport and mobility; score=0.7273; margin=0.6863; override_rules=air transport; keywords=transport, freight, air transport; strong_keywords=air transport",1,1,air transport
Road traffic road freight transport in volume,road traffic road freight transport in volume,Transport and mobility,0.726709,"Crime, justice and safety",0.031058,0.695651,high,tfidf_and_strong_keywords,transport|freight|road|traffic,freight transport,"Best profile: Transport and mobility; score=0.7267; margin=0.6957; keywords=transport, freight, road, traffic; strong_keywords=freight transport",1,1,
Passenger road transport,passenger road transport,Transport and mobility,0.70319,"Crime, justice and safety",0.029471,0.673718,high,rule_override_and_tfidf,transport|passenger|road,road transport,"Best profile: Transport and mobility; score=0.7032; margin=0.6737; override_rules=road transport; keywords=transport, passenger, road; strong_keywords=road transport",1,1,road transport
Rail transport of passengers,rail transport of passengers,Transport and mobility,0.681062,Housing and construction,0.0,0.681062,high,rule_override_and_tfidf,transport|rail,rail transport,"Best profile: Transport and mobility; score=0.6811; margin=0.6811; override_rules=rail transport; keywords=transport, rail; strong_keywords=rail transport",1,1,rail transport
Freight and mail air transport including national transport,freight and mail air transport including national transport,Transport and mobility,0.647169,Economy and national accounts,0.033872,0.613297,high,rule_override_and_tfidf,transport|freight|air transport,air transport,"Best profile: Transport and mobility; score=0.6472; margin=0.6133; override_rules=air transport; keywords=transport, freight, air transport; strong_keywords=air transport",1,1,air transport
Share of rail and inland waterways in inland freight transport,share of rail and inland waterways in inland freight transport,Transport and mobility,0.646372,"Business, industry and trade",0.010903,0.635469,high,tfidf_and_strong_keywords,transport|freight|rail,freight transport,"Best profile: Transport and mobility; score=0.6464; margin=0.6355; keywords=transport, freight, rail; strong_keywords=freight transport",1,1,
Air passenger transport,air passenger transport,Transport and mobility,0.628071,Environment and climate,0.052133,0.575938,high,tfidf_and_strong_keywords,transport|passenger,passenger transport,"Best profile: Transport and mobility; score=0.6281; margin=0.5759; keywords=transport, passenger; strong_keywords=passenger transport",1,1,
Territorialised road freight transport by transport coverage – annual data,territorialised road freight transport by transport coverage – annual data,Transport and mobility,0.62192,"Crime, justice and safety",0.015779,0.606141,high,tfidf_and_strong_keywords,transport|freight|road,freight transport,"Best profile: Transport and mobility; score=0.6219; margin=0.6061; keywords=transport, freight, road; strong_keywords=freight transport",1,1,
