term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Direct investment liabilities flows - annual data % of GDP,direct investment liabilities flows - annual data % of gdp,Economy and national accounts,0.419619,Housing and construction,0.0,0.419619,high,rule_override_and_tfidf,gdp|investment,gdp,"Best profile: Economy and national accounts; score=0.4196; margin=0.4196; override_rules=GDP; keywords=gdp, investment; strong_keywords=gdp",1,1,GDP
Net international investment position excluding non-defaultable instruments - % of GDP,net international investment position excluding non-defaultable instruments - % of gdp,Economy and national accounts,0.411711,"Business, industry and trade",0.033988,0.377723,high,rule_override_and_tfidf,gdp|investment,gdp,"Best profile: Economy and national accounts; score=0.4117; margin=0.3777; override_rules=GDP; keywords=gdp, investment; strong_keywords=gdp",1,1,GDP
Annual growth rate of GDP in volume (constant price) (%),annual growth rate of gdp in volume (constant price) (%),Economy and national accounts,0.40554,Demography and population,0.059419,0.346121,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.4055; margin=0.3461; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,9,GDP
Real GDP growth rate - volume,real gdp growth rate - volume,Economy and national accounts,0.382621,Demography and population,0.07273,0.309891,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3826; margin=0.3099; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
GDP (stocks in % of GDP),gdp (stocks in % of gdp),Economy and national accounts,0.355557,Housing and construction,0.0,0.355557,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3556; margin=0.3556; override_rules=GDP; keywords=gdp; strong_keywords=gdp,2,71,GDP
"Gross external debt, as a share of GDP (%)","gross external debt, as a share of gdp (%)",Economy and national accounts,0.352426,Government and public finance,0.042863,0.309563,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3524; margin=0.3096; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,4,GDP
"Gross capital formation, as a share of GDP (%)","gross capital formation, as a share of gdp (%)",Economy and national accounts,0.351654,"Business, industry and trade",0.01434,0.337314,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3517; margin=0.3373; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,9,GDP
"Gross fixed capital formation, as a share of GDP (%)","gross fixed capital formation, as a share of gdp (%)",Economy and national accounts,0.34715,"Business, industry and trade",0.013089,0.334061,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3472; margin=0.3341; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,9,GDP
GDP deflator,gdp deflator,Economy and national accounts,0.339616,Housing and construction,0.0,0.339616,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3396; margin=0.3396; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
GDP at current market prices (million euro),gdp at current market prices (million euro),Economy and national accounts,0.336673,Housing and construction,0.025169,0.311505,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3367; margin=0.3115; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,9,GDP
Real GDP per capita,real gdp per capita,Economy and national accounts,0.333763,Housing and construction,0.0,0.333763,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3338; margin=0.3338; override_rules=GDP; keywords=gdp; strong_keywords=gdp,2,2,GDP
GDP per capita in PPS,gdp per capita in pps,Economy and national accounts,0.332928,Housing and construction,0.0,0.332928,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3329; margin=0.3329; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
International trade as a share of GDP,international trade as a share of gdp,Economy and national accounts,0.330693,"Business, industry and trade",0.508036,-0.177343,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3307; margin=-0.1773; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
"Change in stocks, as a share of GDP (%)","change in stocks, as a share of gdp (%)",Economy and national accounts,0.32917,Environment and climate,0.049012,0.280158,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3292; margin=0.2802; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,8,GDP
Private sector debt consolidated - % of GDP,private sector debt consolidated - % of gdp,Economy and national accounts,0.32816,Government and public finance,0.044579,0.283582,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3282; margin=0.2836; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Volume of freight transport relative to GDP,volume of freight transport relative to gdp,Economy and national accounts,0.326004,Transport and mobility,0.512945,-0.186942,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3260; margin=-0.1869; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Inward FDI stocks in % of GDP,inward fdi stocks in % of gdp,Economy and national accounts,0.32596,Housing and construction,0.0,0.32596,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3260; margin=0.3260; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Outward FDI stocks in % of GDP,outward fdi stocks in % of gdp,Economy and national accounts,0.32596,Housing and construction,0.0,0.32596,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3260; margin=0.3260; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Volume of passenger transport relative to GDP,volume of passenger transport relative to gdp,Economy and national accounts,0.325676,Transport and mobility,0.508291,-0.182616,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3257; margin=-0.1826; override_rules=GDP; keywords=gdp; strong_keywords=gdp,2,2,GDP
Net external debt - annual data % of GDP,net external debt - annual data % of gdp,Economy and national accounts,0.324618,Government and public finance,0.038971,0.285647,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3246; margin=0.2856; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector credit flow consolidated - % GDP,private sector credit flow consolidated - % gdp,Economy and national accounts,0.324246,Housing and construction,0.0,0.324246,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3242; margin=0.3242; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Net external debt - quarterly data % of GDP,net external debt - quarterly data % of gdp,Economy and national accounts,0.323803,Government and public finance,0.037681,0.286122,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3238; margin=0.2861; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector debt loans by sectors consolidated - % of GDP,private sector debt loans by sectors consolidated - % of gdp,Economy and national accounts,0.323095,Government and public finance,0.036561,0.286535,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3231; margin=0.2865; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Non-financial corporations debt - consolidated % of GDP,non-financial corporations debt - consolidated % of gdp,Economy and national accounts,0.323011,Government and public finance,0.036426,0.286584,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3230; margin=0.2866; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Net trade balance of energy products - % of GDP,net trade balance of energy products - % of gdp,Economy and national accounts,0.322021,Energy,0.141596,0.180426,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3220; margin=0.1804; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Community design CD applications per billion GDP,community design cd applications per billion gdp,Economy and national accounts,0.321913,Housing and construction,0.0,0.321913,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3219; margin=0.3219; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector debt loans by sectors non-consolidated - % of GDP,private sector debt loans by sectors non-consolidated - % of gdp,Economy and national accounts,0.321727,Government and public finance,0.034394,0.287333,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3217; margin=0.2873; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector credit flow loans by sectors consolidated - % of GDP,private sector credit flow loans by sectors consolidated - % of gdp,Economy and national accounts,0.320991,Housing and construction,0.0,0.320991,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3210; margin=0.3210; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector debt debt securities by sectors consolidated - % of GDP,private sector debt debt securities by sectors consolidated - % of gdp,Economy and national accounts,0.320826,Government and public finance,0.055819,0.265007,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3208; margin=0.2650; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector credit flow loans by sectors non-consolidated - % of GDP,private sector credit flow loans by sectors non-consolidated - % of gdp,Economy and national accounts,0.319947,Housing and construction,0.0,0.319947,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3199; margin=0.3199; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector debt debt securities by sectors non-consolidated - % of GDP,private sector debt debt securities by sectors non-consolidated - % of gdp,Economy and national accounts,0.319805,Government and public finance,0.053084,0.266721,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3198; margin=0.2667; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector credit flow debt securities by sectors consolidated - % of GDP,private sector credit flow debt securities by sectors consolidated - % of gdp,Economy and national accounts,0.319607,Government and public finance,0.031038,0.288569,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3196; margin=0.2886; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Private sector credit flow debt securities by sectors non-consolidated - % of GDP,private sector credit flow debt securities by sectors non-consolidated - % of gdp,Economy and national accounts,0.318748,Government and public finance,0.029679,0.289069,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3187; margin=0.2891; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
GDP weights used in the calculation of the global specific indicator,gdp weights used in the calculation of the global specific indicator,Economy and national accounts,0.31847,Housing and construction,0.0,0.31847,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3185; margin=0.3185; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Household debt consolidated including Non-profit institutions serving households - % of GDP,household debt consolidated including non-profit institutions serving households - % of gdp,Economy and national accounts,0.316589,"Income, poverty and living conditions",0.026997,0.289593,high,rule_override_and_tfidf,gdp,gdp,Best profile: Economy and national accounts; score=0.3166; margin=0.2896; override_rules=GDP; keywords=gdp; strong_keywords=gdp,1,1,GDP
Economic activity,economic activity,Economy and national accounts,0.256363,Housing and construction,0.049843,0.20652,medium,tfidf_and_keywords,economic activity,,Best profile: Economy and national accounts; score=0.2564; margin=0.2065; keywords=economic activity,1,1,
Gross domestic expenditure on R&D GERD,gross domestic expenditure on r&d gerd,Economy and national accounts,0.249426,Government and public finance,0.040719,0.208707,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.2494; margin=0.2087; keywords=expenditure,1,1,
"Income (or expenditure) distribution: S80/S20 quintile share ratio, total (ratio)","income (or expenditure) distribution: s80/s20 quintile share ratio, total (ratio)",Economy and national accounts,0.241288,"Income, poverty and living conditions",0.028571,0.212718,medium,tfidf_and_keywords,income|expenditure,,"Best profile: Economy and national accounts; score=0.2413; margin=0.2127; keywords=income, expenditure",1,7,
Gross national income,gross national income,Economy and national accounts,0.212371,"Income, poverty and living conditions",0.061294,0.151076,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.2124; margin=0.1511; keywords=income,1,1,
Gross value added,gross value added,Economy and national accounts,0.21232,Housing and construction,0.0,0.21232,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.2123; margin=0.2123; override_rules=gross value added; keywords=value added,2,61,gross value added
Mean consumption expenditure of private households on cultural goods and services by income quintile,mean consumption expenditure of private households on cultural goods and services by income quintile,Economy and national accounts,0.194748,Health,0.03369,0.161058,medium,tfidf_and_keywords,income|expenditure,,"Best profile: Economy and national accounts; score=0.1947; margin=0.1611; keywords=income, expenditure",1,1,
Mean consumption expenditure of private households on sporting goods and services by income quintile,mean consumption expenditure of private households on sporting goods and services by income quintile,Economy and national accounts,0.194257,Health,0.033214,0.161043,medium,tfidf_and_keywords,income|expenditure,,"Best profile: Economy and national accounts; score=0.1943; margin=0.1610; keywords=income, expenditure",1,1,
Purchasing Power Parities in the European Union Countries - index = 1,purchasing power parities in the european union countries - index = 1,Economy and national accounts,0.180432,Energy,0.04233,0.138102,medium,tfidf_and_keywords,purchasing power,,Best profile: Economy and national accounts; score=0.1804; margin=0.1381; keywords=purchasing power,1,1,
Water use by economic activity,water use by economic activity,Economy and national accounts,0.180158,Environment and climate,0.051188,0.12897,medium,tfidf_and_keywords,economic activity,,Best profile: Economy and national accounts; score=0.1802; margin=0.1290; keywords=economic activity,1,1,
Gross value added - NACE Rev. 2 A - current prices,gross value added - nace rev. 2 a - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 B-E - current prices,gross value added - nace rev. 2 b-e - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 C - current prices,gross value added - nace rev. 2 c - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 F - current prices,gross value added - nace rev. 2 f - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 G-I - current prices,gross value added - nace rev. 2 g-i - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 J - current prices,gross value added - nace rev. 2 j - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 K - current prices,gross value added - nace rev. 2 k - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 L - current prices,gross value added - nace rev. 2 l - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 M_N - current prices,gross value added - nace rev. 2 m_n - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 O-Q - current prices,gross value added - nace rev. 2 o-q - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 R-U - current prices,gross value added - nace rev. 2 r-u - current prices,Economy and national accounts,0.175047,Housing and construction,0.029167,0.14588,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1750; margin=0.1459; override_rules=gross value added; keywords=value added,1,1,gross value added
"Net economic activity rate, total, 15-64 (%)","net economic activity rate, total, 15-64 (%)",Economy and national accounts,0.167186,Housing and construction,0.022858,0.144328,medium,tfidf_and_keywords,economic activity,,Best profile: Economy and national accounts; score=0.1672; margin=0.1443; keywords=economic activity,1,8,
Gross value added - NACE Rev. 2 A - volumes,gross value added - nace rev. 2 a - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 B-E - volumes,gross value added - nace rev. 2 b-e - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 C - volumes,gross value added - nace rev. 2 c - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 F - volumes,gross value added - nace rev. 2 f - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 G-I - volumes,gross value added - nace rev. 2 g-i - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 J - volumes,gross value added - nace rev. 2 j - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 K - volumes,gross value added - nace rev. 2 k - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 L - volumes,gross value added - nace rev. 2 l - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 M_N - volumes,gross value added - nace rev. 2 m_n - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 O-Q - volumes,gross value added - nace rev. 2 o-q - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added - NACE Rev. 2 R-U - volumes,gross value added - nace rev. 2 r-u - volumes,Economy and national accounts,0.16628,Housing and construction,0.0,0.16628,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1663; margin=0.1663; override_rules=gross value added; keywords=value added,1,1,gross value added
Purchasing Power Parities in the European Union Duty stations - index Brussels = 1,purchasing power parities in the european union duty stations - index brussels = 1,Economy and national accounts,0.165811,Energy,0.036167,0.129643,medium,tfidf_and_keywords,purchasing power,,Best profile: Economy and national accounts; score=0.1658; margin=0.1296; keywords=purchasing power,1,1,
"Net economic activity rate, female, 15-64 (%)","net economic activity rate, female, 15-64 (%)",Economy and national accounts,0.165009,Housing and construction,0.022287,0.142721,medium,tfidf_and_keywords,economic activity,,Best profile: Economy and national accounts; score=0.1650; margin=0.1427; keywords=economic activity,1,8,
"Net economic activity rate, male, 15-64 (%)","net economic activity rate, male, 15-64 (%)",Economy and national accounts,0.164984,Housing and construction,0.022281,0.142703,medium,tfidf_and_keywords,economic activity,,Best profile: Economy and national accounts; score=0.1650; margin=0.1427; keywords=economic activity,1,8,
Gross value added - NACE Rev. 2 TOTAL - current prices,gross value added - nace rev. 2 total - current prices,Economy and national accounts,0.163862,Housing and construction,0.025734,0.138127,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1639; margin=0.1381; override_rules=gross value added; keywords=value added,1,1,gross value added
Gross value added at basic prices by NUTS 3 regions,gross value added at basic prices by nuts 3 regions,Economy and national accounts,0.160545,Housing and construction,0.024717,0.135828,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1605; margin=0.1358; override_rules=gross value added; keywords=value added,1,1,gross value added
GNI gross national income per capita in PPS,gni gross national income per capita in pps,Economy and national accounts,0.156444,"Income, poverty and living conditions",0.035397,0.121046,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1564; margin=0.1210; keywords=income,1,1,
Gross value added - NACE Rev. 2 TOTAL - volumes,gross value added - nace rev. 2 total - volumes,Economy and national accounts,0.154115,Housing and construction,0.0,0.154115,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1541; margin=0.1541; override_rules=gross value added; keywords=value added,1,1,gross value added
National expenditure on environmental protection,national expenditure on environmental protection,Economy and national accounts,0.153744,Environment and climate,0.151335,0.002409,low,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1537; margin=0.0024; keywords=expenditure,1,1,
Private investment and gross added value related to circular economy sectors,private investment and gross added value related to circular economy sectors,Economy and national accounts,0.153521,Housing and construction,0.0,0.153521,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1535; margin=0.1535; keywords=investment,1,1,
Percentage of the ICT sector in Gross value added,percentage of the ict sector in gross value added,Economy and national accounts,0.1524,"Science, technology and digital society",0.107382,0.045018,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1524; margin=0.0450; override_rules=gross value added; keywords=value added,2,2,gross value added
Official development assistance as share of gross national income,official development assistance as share of gross national income,Economy and national accounts,0.15028,"Science, technology and digital society",0.042678,0.107602,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1503; margin=0.1076; keywords=income,1,1,
Gross disposable income,gross disposable income,Economy and national accounts,0.149026,"Income, poverty and living conditions",0.061286,0.08774,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1490; margin=0.0877; keywords=income,1,1,
Gross value added in environmental goods and services sector,gross value added in environmental goods and services sector,Economy and national accounts,0.147471,Environment and climate,0.140011,0.007461,high,rule_override_and_tfidf,value added,,Best profile: Economy and national accounts; score=0.1475; margin=0.0075; override_rules=gross value added; keywords=value added,1,1,gross value added
The real gross disposable income of households per capita index =,the real gross disposable income of households per capita index =,Economy and national accounts,0.143056,"Income, poverty and living conditions",0.034892,0.108165,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1431; margin=0.1082; keywords=income,1,1,
Interests receivable and similar income by product,interests receivable and similar income by product,Economy and national accounts,0.141552,"Income, poverty and living conditions",0.036761,0.104792,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1416; margin=0.1048; keywords=income,1,1,
Other investment - annual data million units of national currency,other investment - annual data million units of national currency,Economy and national accounts,0.141369,Housing and construction,0.0,0.141369,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1414; margin=0.1414; keywords=investment,1,1,
Direct investment - annual data million units of national currency,direct investment - annual data million units of national currency,Economy and national accounts,0.135314,Housing and construction,0.0,0.135314,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1353; margin=0.1353; keywords=investment,1,1,
Energy productivity,energy productivity,Economy and national accounts,0.13178,Energy,0.197188,-0.065408,high,rule_override_and_tfidf,productivity,,Best profile: Economy and national accounts; score=0.1318; margin=-0.0654; override_rules=productivity; keywords=productivity,2,2,productivity
Value Added in Foreign Controlled Enterprises,value added in foreign controlled enterprises,Economy and national accounts,0.130908,"Business, industry and trade",0.015039,0.115869,medium,tfidf_and_keywords,value added,,Best profile: Economy and national accounts; score=0.1309; margin=0.1159; keywords=value added,1,1,
Percentage change of value added by ICT sector at current prices,percentage change of value added by ict sector at current prices,Economy and national accounts,0.130904,"Science, technology and digital society",0.102163,0.028741,low,tfidf_and_keywords,value added,,Best profile: Economy and national accounts; score=0.1309; margin=0.0287; keywords=value added,1,1,
"Value added of services, as a share of total VA (%)","value added of services, as a share of total va (%)",Economy and national accounts,0.129035,Health,0.018866,0.110169,medium,tfidf_and_keywords,value added,,Best profile: Economy and national accounts; score=0.1290; margin=0.1102; keywords=value added,1,9,
Gross debt-to-income ratio of households,gross debt-to-income ratio of households,Economy and national accounts,0.128884,"Income, poverty and living conditions",0.043403,0.085482,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1289; margin=0.0855; keywords=income,1,1,
Resource productivity,resource productivity,Economy and national accounts,0.125588,Housing and construction,0.0,0.125588,high,rule_override_and_tfidf,productivity,,Best profile: Economy and national accounts; score=0.1256; margin=0.1256; override_rules=productivity; keywords=productivity,2,2,productivity
Value added at factor cost - million euro,value added at factor cost - million euro,Economy and national accounts,0.125003,Labour market,0.036041,0.088962,medium,tfidf_and_keywords,value added,,Best profile: Economy and national accounts; score=0.1250; margin=0.0890; keywords=value added,1,58,
Adjusted gross disposable income of households per capita,adjusted gross disposable income of households per capita,Economy and national accounts,0.123185,"Income, poverty and living conditions",0.038342,0.084842,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1232; margin=0.0848; keywords=income,1,1,
Direct investment abroad main components - annual data million units of national currency,direct investment abroad main components - annual data million units of national currency,Economy and national accounts,0.123059,Housing and construction,0.0,0.123059,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1231; margin=0.1231; keywords=investment,1,1,
Expenditure on pensions,expenditure on pensions,Economy and national accounts,0.122826,Government and public finance,0.060262,0.062564,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1228; margin=0.0626; keywords=expenditure,1,1,
Households investment rate,households investment rate,Economy and national accounts,0.122094,Demography and population,0.022822,0.099272,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1221; margin=0.0993; keywords=investment,1,1,
Total investment,total investment,Economy and national accounts,0.121403,Housing and construction,0.0,0.121403,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1214; margin=0.1214; keywords=investment,2,72,
Body mass index BMI by sex age and income quintile,body mass index bmi by sex age and income quintile,Economy and national accounts,0.121373,"Income, poverty and living conditions",0.033491,0.087882,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1214; margin=0.0879; keywords=income,1,1,
Households investment,households investment,Economy and national accounts,0.12111,Housing and construction,0.0,0.12111,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1211; margin=0.1211; keywords=investment,2,70,
